time,accel
0,0.00
20,0.00
40,0.00
60,0.00
80,0.00
100,0.01
120,0.01
140,0.00
160,0.00
180,0.00
200,0.00
220,0.01
240,0.01
260,0.01
280,0.00
300,0.01
320,0.01
340,0.01
360,0.01
380,0.01
400,0.00
420,0.00
440,0.00
460,0.00
480,0.01
500,0.00
520,0.00
540,0.00
560,0.00
580,0.01
600,0.01
620,0.01
640,0.01
660,0.01
680,0.00
700,0.01
720,0.01
740,0.01
760,0.00
780,0.01
800,0.00
820,0.01
840,0.01
860,0.00
880,0.00
900,0.01
920,0.00
940,0.01
960,0.01
980,0.01
1000,0.00
1020,0.00
1040,0.00
1060,0.01
1080,0.01
1100,0.00
1120,0.00
1140,0.00
1160,0.00
1180,0.00
1200,0.01
1220,0.01
1240,0.01
1260,0.00
1280,0.00
1300,0.00
1320,0.01
1340,0.01
1360,0.01
1380,0.00
1400,0.00
1420,0.00
1440,0.01
1460,0.01
1480,0.00
1500,0.00
1520,0.00
1540,0.00
1560,0.00
1580,0.00
1600,0.01
1620,0.00
1640,0.00
1660,0.00
1680,0.00
1700,0.00
1720,0.00
1740,0.00
1760,0.00
1780,0.01
1800,0.00
1820,0.00
1840,0.00
1860,0.01
1880,0.00
1900,0.01
1920,0.00
1940,0.00
1960,0.00
1980,0.01
2000,0.00
2020,0.00
2040,0.00
2060,0.01
2080,0.00
2100,0.00
2120,0.01
2140,0.00
2160,0.00
2180,0.00
2200,0.00
2220,0.00
2240,0.00
2260,0.00
2280,0.00
2300,0.00
2320,0.00
2340,0.01
2360,0.00
2380,0.00
2400,0.00
2420,0.00
2440,0.00
2460,0.00
2480,0.01
2500,0.00
2520,0.00
2540,0.00
2560,0.00
2580,0.00
2600,0.00
2620,0.01
2640,0.00
2660,0.01
2680,0.00
2700,0.00
2720,0.00
2740,0.00
2760,0.00
2780,0.00
2800,0.00
2820,0.00
2840,0.00
2860,0.00
2880,0.00
2900,0.00
2920,0.00
2940,0.00
2960,0.00
2980,0.01
3000,0.00
3020,0.00
3040,0.00
3060,0.00
3080,0.00
3100,0.00
3120,0.01
3140,0.00
3160,0.00
3180,0.00
3200,0.01
3220,0.01
3240,0.00
3260,0.00
3280,0.00
3300,0.00
3320,0.00
3340,0.00
3360,0.00
3380,0.01
3400,0.01
3420,0.00
3440,0.00
3460,0.00
3480,0.00
3500,0.00
3520,0.00
3540,0.00
3560,0.00
3580,0.00
3600,0.01
3620,0.00
3640,0.00
3660,0.00
3680,0.00
3700,0.00
3720,0.01
3740,0.01
3760,0.00
3780,0.00
3800,0.00
3820,0.01
3840,2.19
3860,1.66
3880,1.16
3900,0.42
3920,0.66
3940,0.51
3960,0.50
3980,0.50
4000,1.51
4020,0.32
4040,0.75
4060,0.53
4080,0.53
4100,0.43
4120,0.27
4140,0.09
4160,0.19
4180,2.58
4200,0.56
4220,0.52
4240,0.42
4260,0.20
4280,0.42
4300,0.18
4320,0.22
4340,0.16
4360,0.09
4380,0.07
4400,0.02
4420,0.05
4440,0.10
4460,0.07
4480,0.02
4500,0.04
4520,0.06
4540,0.06
4560,0.04
4580,0.01
4600,0.02
4620,0.03
4640,0.04
4660,0.03
4680,0.19
4700,0.14
4720,0.03
4740,0.14
4760,0.04
4780,0.08
4800,0.12
4820,0.06
4840,0.02
4860,0.05
4880,0.08
4900,0.09
4920,0.06
4940,0.50
4960,0.11
4980,0.13
5000,0.11
5020,0.04
5040,0.05
5060,0.07
5080,0.06
5100,0.03
5120,0.00
5140,0.03
5160,0.06
5180,0.08
5200,0.04
5220,0.03
5240,0.04
5260,0.05
5280,0.05
5300,0.03
5320,0.02
5340,0.01
5360,0.03
5380,0.04
5400,0.03
5420,0.02
5440,0.01
5460,0.02
5480,0.02
5500,0.02
5520,0.02
5540,0.02
5560,0.02
5580,0.01
5600,0.01
5620,0.01
5640,0.02
5660,0.02
5680,0.02
5700,0.01
5720,0.01
5740,0.01
5760,0.01
5780,0.01
5800,0.01
5820,0.01
5840,0.01
5860,0.01
5880,0.01
5900,0.01
5920,0.01
5940,0.01
5960,0.01
5980,0.01
6000,0.01
6020,0.01
6040,0.01
6060,0.01
6080,0.01
6100,0.01
6120,0.01
6140,0.01
6160,0.01
6180,0.01
6200,0.01
6220,0.01
6240,0.01
6260,0.01
6280,0.01
6300,0.03
6320,0.01
6340,0.01
6360,0.01
6380,0.01
6400,0.01
6420,0.03
6440,0.04
6460,0.01
6480,0.03
6500,0.03
6520,0.01
6540,0.02
6560,0.01
6580,0.01
6600,0.01
6620,0.02
6640,0.01
6660,0.01
6680,0.01
6700,0.01
6720,0.01
6740,0.01
6760,0.01
6780,0.01
6800,0.01
6820,0.01
6840,0.01
6860,0.01
6880,0.01
6900,0.01
6920,0.01
